"","x"
"1",0.455399264165001
"2",0.245812412641915
"3",0.0986244534967673
"4",0.0460873559462451
"5",0.115965168276558
"6",0.102489359120729
"7",0.351215261026519
"8",0.127131745794497
"9",0.101971924263036
"10",0.107952724394
"11",0.0398159297117272
"12",0.348108053490569
"13",0.143793709537851
"14",0.0571895894577481
"15",0.314198012280637
"16",0.298666162159662
"17",0.13533396588253
"18",0.15977264612011
"19",0.0244558077762478
"20",0.147327263518339
"21",0.145033484616504
"22",0.154210511498723
"23",0.165830608507701
"24",0.132360169158138
"25",0.0712017058232706
"26",0.294241566262225
"27",0.0393849776769116
"28",0.300228366342075
"29",0.279367692271918
"30",0.0629980875912073
"31",0.0356801027055414
"32",0.107280355387534
"33",0.120483534163051
"34",0.0292309852189814
"35",0.140277779518673
"36",0.311947074870863
"37",0.250741022067709
"38",0.12976149693541
"39",0.0881858513406202
"40",0.509543405988572
"41",0.202617329481068
"42",0.0795915950339157
"43",0.390469324184631
"44",0.138186043423149
"45",0.191177980382613
"46",0.436765863343271
"47",0.105536472066716
"48",0.0691693814122894
"49",0.16214513603982
"50",0.288779515274895
"51",0.277895165739605
"52",0.236956530232312
"53",0.0980541250529214
"54",0.12259967530672
"55",0.504803863852599
"56",0.0931373319374658
"57",0.215018155793081
"58",0.230559789612469
"59",0.256670329175747
"60",0.29790403590428
"61",0.0827208322386438
"62",0.0276310187374808
"63",0.299757164537376
"64",0.1324982360019
"65",0.168534916089786
"66",0.12842909626731
"67",0.0876310924563887
"68",0.975392316310066
